"Common/ButtonExit","ZAVŘÍT"
"OWBackend/UseEvent/MaxAllowedClassIs","Nejvyšší povolená třída lodi pro tuto misi je třída {0}"
"OWBackend/UsePersonalEvent/NotSailing","Musíte být na moři pro využití událostí"
"OWBackend/UsePersonalEvent/WaitAndUseAgain","Prosím počkejte a použijte událost znovu"
"OWBackend/UsePersonalEvent/NotExists","Událost neexistuje"
"OWBackend/UsePersonalEvent/TooFar","Událost je od vás příliš daleko"
"OWBackend/UsePersonalEvent/ShipClassProblem","Nelze zahájit boj. Třída vaší lodi je {0}. Nejvyšší povolená třída lodi pro tuto misi je {1}."
"OWBackend/UsePersonalEvent/GroupMemberShipClassProblem","Nelze zahájit boj. člen skupiny má třídu {0}. Nejvyšší povolená třída lodi pro tuto misi je {1}."
"OWBackend/UseEventGroup/MaxPlayersCountLimit","Pouze {0} nebo méně hráčů mohou vstoupit do této epické události"
"OWBackend/UseEventGroup/MaxShipClassLimit","Pouze lodi třídy {0} mohou vstoupit do této události. Hráč {1} má loď třídy {2}."
"Port/NavyPanel/ShipsOnSale","Lodě na prodej"
"Port/NavyPanel/All","Vše"
"Port/NavyPanel/ExpiresIn/Expired","Prošlé"
"Port/NavyPanel/ExpiresIn/DaysLeft","Zbývá dnů"
"Port/NavyPanel/ExpiresIn/HoursLeft","Zbývá hodin"
"Port/NavyPanel/ExpiresIn/MinutesLeft","Zbývá minut"
"Port/NavyPanel/Repair/Title","Opravit loď?"
"Port/NavyPanel/Repair/Text","Skutečně chcete opravit loď za {0} {1}?"
"Port/NavyPanel/Repair/UnableToRepairTitle","Není možné opravit loď"
"Port/NavyPanel/Repair/UnableToRepairText","Není dost {0} na opravu lodi"
"Port/NavyPanel/Repair/RepairedTitle","Opraveno"
"Port/NavyPanel/Repair/RepairedText","Loď úspěšně opravena!"
"Port/NavyPanel/SellToPort/Message","Skutečně chcete prodat {0} s_ {1}"
"Port/NavyPanel/SellToPort/TaxInfo","Také zaplatíte daň {0} {1}. Výsledná cena je {2} {3}."
"Port/NavyPanel/SellToPort/Title","Jste si jistý?"
"Port/NavyPanel/SellToPort/Processing","Prodávání lodi..."
"Port/NavyPanel/SellToPort/SucceedTitle","Loď prodána"
"Port/NavyPanel/SellToPort/FailedTitle","Nepodařilo se prodat loď"
"Port/NavyPanel/SellToPort/SucceedMessage","Loď byla úspěšně prodána"
"Port/NavyPanel/ShipBreakUp/Title","Jste si jistý?"
"Port/NavyPanel/ShipBreakUp/Message","Jste si jistý, že chcete rozebrat loď?"
"Port/NavyPanel/ShipBreakUp/Processing","Rozebírání lodi..."
"Port/NavyPanel/ShipBreakUp/SucceedMessage","Rozebral jste {0} a získal:"
"Port/NavyPanel/ShipBreakUp/CantDoNotInPort","Není možné provést tuto akci pokud nejste v přístavu"
"Port/NavyPanel/ShipBreakUp/CantFindFleetShip","Loď z flotily nenalezena"
"Port/NavyPanel/ShipBreakUp/AvailableOnlyInCurrentPort","Je možné rozebrat pouze lodě v přístavu, kde se nacházíte"
"Port/NavyPanel/ShipBreakUp/CantFindShipInPort","Nepodařilo se najít loď v současném_ přístavu"
"Port/NavyPanel/ShipBreakUp/NotEnoughSpaceInWarehouse","Ve skladišti není dost místa"
"Port/NavyPanel/RemoveFromSale/Title","Odebrat z prodeje"
"Port/NavyPanel/RemoveFromSale/Message","Odebrat {0} z prodeje?
Poplatky za loď budou ztraceny."
"Port/NavyPanel/RemoveFromSale/Processing","Čekejte..."
"Port/NavyPanel/RemoveFromSale/CantTakeFromSale","Není možné stáhnout tuto loď z prodeje"
"Port/NavyPanel/RemoveFromSale/CantDoInPort","Není možné provést tuto akci pokud nejste v přístavu"
"Port/NavyPanel/RemoveFromSale/AlreadySold","Loď byla již prodána"
"Port/NavyPanel/RemoveFromSale/NotEnoughSpaceInDocks","Nemůžete stáhnout tuto loď z prodeje - nedostatek místa v docích"
"Port/NavyPanel/ExpandDocks/Title","Jste si jistý?"
"Port/NavyPanel/ExpandDocks/Message","Are you sure want add {0} docks for {1} {2}?"
"Port/NavyPanel/ExpandDocks/ProcessedTitle","Expand docks"
"Port/NavyPanel/ExpandDocks/NotEnoughMoney","Not enough {0} to expand ship slots"
"Port/NavyPanel/ExpandDocks/SucceedMessage","Docks successfully expanded, now {0}"
"Port/NavyPanel/ExpandDocks/FailedMessage","Unable to expand ship slots"
"Port/NavyPanel/ExpandDocks/ResponseTitle","Expand docks"
"Port/NavyPanel/ShipDestruction/DefaultMessage","Please remove modules, cannons, items from Nákladový prostor and try again"
"Port/NavyPanel/ShipInformation/NoUpgrades","no upgrades"
"Port/NavyPanel/ShipInformation/NoCannons","no cannons"
"Port/NavyPanel/ShipInformation/NoItems","no items"
"Port/NavyPanel/ShipInformation/Upgrades","upgrades: {0}"
"Port/NavyPanel/ShipInformation/Cannons","cannons: {0}"
"Port/NavyPanel/ShipInformation/Items","items: {0}"
"Port/NavyPanel/ShipInformation/Text","{0}, {1} and {2} in Nákladový prostor."
"Port/NavyPanel/ManageCrewButton","Manage crew"
"Port/NavyPanel/ManageOutpostsButton","Manage outposts"
"Port/NavyPanel/TowPermitsLabel","Tow Permits"
"Port/NavyPanel/ExpandButton","Expand"
"Port/NavyPanel/FleetLabel","Fleet:"
"Port/NavyPanel/RightClickInfo","* Right click on ship for more options"
"Port/NavyPanel/EquipButton","Equip"
"Port/NavyPanel/RepairButton","Repair"
"Port/NavyPanel/HoldButton","Pozastavit"
"Port/NavyPanel/ToAuctionButton","To auction"
"Port/NavyPanel/BreakUpButton","Break up"
"Port/NavyPanel/FleetShip","[Fleet\ {0}"
"Port/NavyPanel/NoShipSelected","No Ship Selected"
"Port/NavyPanel/Title","Your Navy"
"Port/NavyPanel/RemoveFromSaleButton","Remove from sale"
"Port/NavyPanel/PriceLabel","Price:"
"Port/NavyPanel/HoursLeft","Hours left"
"Port/Warehouse/Logs/Title","klanové skladiště Logs"
"Port/Warehouse/SelectAmount/EnterAmountPlaceholder","Enter Množství..."
"Port/Warehouse/SelectAmount/Title","Select Množství"
"Port/Warehouse/Title","Skladiště"
"Port/Warehouse/ExpandWarehouse","Expand Skladiště"
"Port/Warehouse/Expand/Title","Expand Skladiště"
"Port/Warehouse/Expand/Message","Buy {0} more Skladiště slots for {1} {2}?"
"Port/Warehouse/Expand/NotEnoughMoney","Not enough {0} to expand Skladiště"
"Port/Warehouse/Expand/Failed","Unable to expand Skladiště"
"Port/Tutorial/Title","Tutorials"
"Port/Tutorial/ExamsTitle","Exams"
"Port/Tutorial/FinalsTitle","Finals"
"Port/Tutorial/Reward/DefaultText","Rewards"
"Port/Tutorial/Reward/PassedText","You have passed the <color=#99201EFF>{0}</color> exam"
"Port/Tutorial/Reward/ErrorTitle","Error"
"Port/Tutorial/Reward/Error/NoWarehouse","You do not have the Skladiště in this port to claim rewards. Please sail to the port with the Skladiště or open oupost in this port"
"Port/Tutorial/Reward/Error/NoSpaceInWarehouse","You do not have space in the Skladiště to claim rewards. Please clean up to {0} slots"
"Port/Tutorial/Reward/Error/AlreadyClaimed","You already get this rewards."
"Port/Tutorial/Reward/Error/NotCompleted","You need to complete last tutorial to get rewards"
"Port/Tutorial/Reward/Error/NotCompletedExam","You need to complete last challange to get rewards"
"Port/Tutorial/Reward/ClaimRewardsButton","Claim rewards"
"Port/Tutorial/StartFinalButton","START FINAL"
"Port/Tutorial/StartTutorialButton","START TUTORIAL"
"Port/Tutorial/StartExamButton","START EXAM"
"Port/Tutorial/Tutorial/StartGunneryButton","GUNNERY TUTORIAL"
"Port/Tutorial/Tutorial/StartSailingButton","SAILING TUTORIAL"
"Port/Tutorial/Tutorial/StartSpecialManeuversButton","SPECIAL MANEUVERS"
"Port/Tutorial/Tutorial/StartPursuitAndCaptureButton","PURSUIT AND CAPTURE"
"Port/Tutorial/Exam/StartDestructionButton","DESTRUCTION EXAM"
"Port/Tutorial/Exam/StartDemastingButton","DEMASTING EXAM"
"Port/Tutorial/Exam/StartBoardingButton","BOARDING EXAM"
"Port/Tutorial/Exam/StartEnduranceButton","ENDURANCE EXAM"
"Port/Tutorial/StartFinalExamButton","FINAL EXAM"
"Port/Tutorial/TutorialsButton","Tutorials"
"Port/Tutorial/ExamsButton","Exams"
"Port/Tutorial/FinalsButton","Finals"
"Port/Tutorial/BestTime","Best time:"
"Port/Tutorial/YourTime","Your time:"
"Port/Tutorial/AverageTime","Average time:"
"Port/Tutorial/BestResults","Best Results"
"Port/Tutorial/Skip/Title","Are you sure?"
"Port/Tutorial/Skip/Message","Tutorial and examinations are not mandatory. Press confirm to skip the tutorial. You can always try it again in the future by pressing Esc in any port.

Note
Rewards: Completing all exams will give you a ONE TIME grant of XP, Repairs, Rum and 3 rare items. You will NOT lose them if you skip the tutorial now.

Please confirm that you want to skip the tutorial"
"Port/Rewards/Error/MoneyChestFull","Your Money Chest is full"
"Port/Rewards/Error/WarehouseFull","Your Skladiště is full"
"Port/Challenges/Error/NotInActiveList","Error: {0} is not in the list of active challenges"
"Port/Challenges/Error/AlreadyParticipating","Error: {0} you already has this challenge"
"Port/Root/Repair/Title","Repair ship?"
"Port/Root/Repair/Message","Are you sure that you want to repair {0}?"
"Port/Root/Repair/SucceedTitle","Repaired"
"Port/Root/Repair/SucceedMessage","Ship successfully repaired!"
"Port/Root/Repair/FailedTitle","Unable to repair ship"
"Port/Root/PortRepairButton","""Port Repair"""
"Port/Root/PortAdmiraltyButton","""Port Admiralty"""
"Port/Root/PortClanWarehouseButton","""Port klanové skladiště"""
"Port/Root/LeavePortButton","LEAVE PORT"
"Port/Root/TutorialButton","TUTORIAL"
"Port/Root/SailButton","SAIL"
"Port/Root/LeavePort/WarehouseItems","Skladiště items:"
"Port/Root/LeavePort/DockedShips","Docked ships:"
"Port/Root/LeavePort/AreYouSureMessage","Are you sure you ready to leave port? All kept items will be lost!"
"Port/Root/LeavePort/AreYouSureTitle","Are you sure?"
"Port/Root/LeavePort/Processing","Entering open world"
"Port/Root/LeavePort/UnableToLeavePortTitle","Unable to leave port"
"Port/Root/LeavePort/UnableToLeavePortMessage","You need ship to leave port"
"Port/Root/LeavePort/NoArmorRepairs","You don't have any {0} items to repair armor."
"Port/Root/LeavePort/NoSailRepairs","You don't have any {0} items to repair sail."
"Port/Root/LeavePort/NoCrewRepairs","You don't have any {0} items to repair crew."
"Port/Root/LeavePort/StillLeavePort","Leave port?"
"Port/Root/LeavePort/NoRepairs","No repair taken"
"Port/Root/LeavePort/NoCannonsTitle","No cannons in decks"
"Port/Root/LeavePort/NoCannonsMessage","You don't have cannons equipped in decks. Leave port?"
"Port/Shop/BuyTitle","Buy?"
"Port/Shop/BuyMessage","Are you sure you want to buy {0}?"
"Port/Shop/Error/FailedToBuyModuleTitle","Failed to buy module"
"Port/Root/Repair/Error/ShipNotExists","Ship does not exist"
"Port/Root/Repair/Error/OnlyFleetShipsCanBeRepaired","Only ships taken to fleet can be repaired"
"Port/Root/Repair/Error/SailsCantBeRepaired","Sails can't be repaired"
"Port/Root/Repair/Error/ShipCantBeRepaired","Ship can't be repaired"
"Port/Root/Repair/Error/CrewCantBeRepaired","Crew can't be repaired"
"Port/Root/Repair/RepairedAllSails","Repaired all sail hp"
"Port/Root/Repair/RepairedAllArmor","Repaired all armor hp"
"Port/Root/Repair/RepairedAllCrew","Repaired all crew"
"Port/Root/Repair/RepairedSails","Repaired {0} sail hp
Used {1} {2}"
"Port/Root/Repair/RepairedArmor","Repaired {0} armor hp
Used {1} {2}"
"Port/Root/Repair/RepairedCrew","Repaired {0} crew
Used {1} {2}"
"Port/Root/Repair/Error/CrewAlreadyFull","You already have max crew"
"Port/ShipEquipment/Module/CantMountTitle","Can't mount module"
"Port/ShipEquipment/Module/Error/BookTypeInstalled","You already install book of this type"
"Port/ShipEquipment/Module/Error/BookInstalled","You already install this book"
"Port/ShipEquipment/Title","{0} equipment"
"Port/ShipEquipment/Paint/RemoveButtonTitle","Destroy"
"Port/ShipEquipment/Paint/RemoveMessage","Are you sure that you want to remove paint from ship?"
"Port/ShipEquipment/Paint/EmptySlotText","Paint"
"Port/ShipEquipment/Paint/SlotTitle","Paint Slot"
"Port/ShipEquipment/Paint/SlotDescription","Used only for paint scheme"
"Port/ShipEquipment/Upgrade/SlotTitle","Upgrade Slot"
"Port/ShipEquipment/Upgrade/SlotDescription","Used only for upgrades
To remove upgrade you need to destroy it
Press Left click to open Select Upgrade window"
"Port/ShipEquipment/Upgrade/SlotUnlockXPInfo","{0}/{1} XP on {2}"
"Port/ShipEquipment/Upgrade/UnlockSlotOn","Unlock {0} slot on {1}"
"Port/ShipEquipment/Upgrade/EmptySlotTitle","Empty Slot"
"Port/ShipEquipment/Upgrade/EmptySlotDescription","Click to choose knowledge"
"Port/ShipEquipment/Upgrade/KnowledgeSlotTitle","Knowledge Slot"
"Port/ShipEquipment/Upgrade/KnowledgeSlotDescription","Use this vessel in combat to gain XP to unlock this slot"
"Port/ShipEquipment/Decks/MortarLimits","Moždíř limits:"
"Port/ShipEquipment/Decks/CannonLimits","Cannon limits:"
"Port/ShipEquipment/Decks/CarronadeLimits","Carronade limits:"
"Port/ShipEquipment/Decks/SelectCannonHelp","Press Left click to open Select Cannons window"
"Port/ShipEquipment/Decks/SlotTitle","Cannon caliber info"
"Port/ShipEquipment/Decks/GunsLimit","Guns: {0}
{1}
{2}"
"Port/ShipEquipment/Caliber","{0}p"
"Port/ShipEquipment/CaliberLimits","{0}-{1}p"
"Port/ShipEquipment/DeckLower","Lower"
"Port/ShipEquipment/DeckMiddle","Middle"
"Port/ShipEquipment/DeckUpper","Upper"
"Port/ShipEquipment/DeckTop","Top"
"Port/ShipEquipment/DeckBow","Bow"
"Port/ShipEquipment/DeckStern","Stern"
"Port/ShipEquipment/DeckMortar","Moždíř"
"Port/ShipEquipment/BuiltInUpgrades","Built-in upgrades"
"Port/TowRequest/Title","Send Ship To Outpost"
"Port/TowRequest/Message","Are you sure that you want to tow {0} to {1}? Towing price {2}"
"Port/TowRequest/SucceedTitle","Success"
"Port/TowRequest/SucceedMessage","Ship successfully towed."
"Port/TowRequest/FailedTitle","Can't tow"
"Port/TowRequest/Error/NoPermits","Can't tow ship, you don't have permits"
"Port/TowRequest/Error/NotInPort","You should be in port to make tow operations"
"Port/TowRequest/Error/SamePort","Can't tow ships in same port"
"Port/TowRequest/Error/NoOutpost","You don't have outpost in this port"
"Port/TowRequest/Error/OutpostNotFound","Can't find outpost with this id"
"Port/TowRequest/Error/OutpostInEnemyPort","Can't tow ship to enemy port"
"Port/TowRequest/Error/ShipNotFound","Ship not found"
"Port/TowRequest/Error/NotEnoughMoney","Unable tow ship - not enough {0}."
"Port/TowRequest/Error/BasicShip","You can't tow basic ship"
"Port/TowRequest/Error/HoldNotEmpty","You can't tow ship with items in Nákladový prostor"
"Port/TowRequest/Error/OutpostIsFull","Outpost docks are full"
"Port/TowRequest/Error/NoPorts","You do not have available ports for towing ship"
"Port/TowRequest/Error/NotOutpostsYet","You do not have any outpost yet."
"Port/TowRequest/TowPriceLabel","Tow price:"
"Port/ShipSelection/InFleet","In Fleet"
"Port/ShipSelection/OpenEquipmentButton","Open Equipment"
"Port/ShipSelection/OpenHoldButton","Open Nákladový prostor"
"Port/ShipSelection/SendToFleetButton","Send to fleet"
"Port/ShipSelection/Error/NotInPort","You should be in port to make fleet operations"
"Port/ShipSelection/Error/ShipNotFound","Ship not found"
"Port/ShipSelection/Error/BasicShip","You can't take basic or premium ship to fleet"
"Port/ShipSelection/Error/ItemsInHold","You can't take ship with Nákladový prostor items to fleet"
"Port/ShipSelection/Error/FleetSizeLimitReached","You can't have more ships in fleet. Use ""Fleet Control"" perks to expand your fleet."
"Port/ShipSelection/TowRequestButton","Tow Request"
"Port/TowRequest/SelectOutpostTitle","Select Outpost"
"Port/TowRequest/SelectOutpostMessage","Select outpost. Towing price {0}"
"Port/TowRequest/AreYouSure","Are you sure that you want to tow this ship? Towing price <color=yellow><b>{0}</b></color>"
"Port/ShipSelection/RepairShipButton","Repair Ship"
"Port/ShipSelection/DismissButton","Dismiss"
"Port/ShipSelection/FleetAction/Title","Dismiss or take?"
"Port/ShipSelection/FleetAction/Action/Dismiss","<size=40>Dismiss</size>"
"Port/ShipSelection/FleetAction/Action/MoveToDocks","<size=40>Move to docks</size>"
"Port/ShipSelection/FleetAction/Action/SwitchShip","<size=40>Switch Ship</size>"
"Port/ShipSelection/FleetAction/Message","<size=36>What you want to do with this ship?</size>"
"Port/ShipSelection/FleetAction/Dismiss/Title","Dismiss ship?"
"Port/ShipSelection/FleetAction/Dismiss/Message","Are you sure that you want to dismiss {0}?
It contains {1}"
"Port/ShipSelection/FleetAction/Take/Title","Take ship?"
"Port/ShipSelection/FleetAction/Take/Message","Are you sure that you want to move {0} to docks?"
"Port/ShipSelection/FleetAction/Switch/Title","Switch ship?"
"Port/ShipSelection/FleetAction/Switch/Message","Are you sure that you want to switch ship to {0}?"
"Port/ShipSelection/Error/NotSailing","You should be sailing to sink ship"
"Port/ShipSelection/Error/NoOutpost","You can take ships only in ports where you have outpost"
"Port/ShipSelection/Error/ShipInOtherPort","Ship located at other port"
"Port/ShipSelection/Error/DocksFull","Docks are full"
"Port/ShipSelection/Error/NotEnoughMoneyForRepair","Unable to repair ship - not enough {0}"
"Port/ShipSelection/Error/FleetIsFull","You can't add more ships to fleet"
"Port/ShipSelection/Error/FleetShipInOtherPort","Fleet ship located in other port"
"Port/Outposts/Error/AbandonTitle","Unable to abandon outpost"
"Port/Outposts/Error/NotClosedBuilds","You need to close all buildings first at
{0}
before abandon outpost"
"Port/Outposts/Abandon/Title","Abandon outpost?"
"Port/Outposts/Abandon/Message","Are you sure that you want to abandon outpost at
{0}?
It will cost you {1} {2}. All buildings, ships, items and goods in that port will be lost!"
"Port/Outposts/Abandon/Warning1","All buildings, ships, items and goods in {0} port will be lost!
If you agree, please press Abandon button"
"Port/Outposts/Abandon/Warning2","Please type in 'close' (without quotes) to close outpost at
{0}"
"Port/Outposts/Error/ConfirmationFailed","Confirmation failed, outpost is not closed"
"Port/Outposts/OkButton","Ok"
"Port/Outposts/AbandonButton","Abandon"
"Port/Outposts/CancelButton","Cancel"
"Port/Outposts/Teleport/Title","Teleport"
"Port/Outposts/Teleport/Message","Are you sure want to teleport to {0}?
Teleport price <color=green>{1}</color> {2}"
"Port/Outposts/Error/TeleportTitle","Can't teleport"
"Port/Outposts/Error/NotEnoughMoney","Not enough money"
"Port/Outposts/Open/Title","Open outpost?"
"Port/Outposts/Open/Message","Are you sure that you want to open outpost at
{0}?
It will cost you {1} {2}."
"Port/Outposts/Error/OpenTitle","Unable to open outpost"
"Port/Outposts/BuyPermit/Title","Buy Permit?"
"Port/Outposts/BuyPermit/Message","Are you sure that you want to buy permit? It will cost you {0} {1}."
"Port/Outposts/Error/BuyPermitTitle","Unable to buy permit"
"Port/Outposts/Error/NotEnoughResource","Unable to close outpost - not enough {0}"
"Port/Outposts/Error/LessThanOneOutpost","Unable to close outpost - you can't have less than one outpost"
"Port/Outposts/Error/OutpostsLimitReached","Unable to buy outpost slot - outpost limit reached"
"Port/Outposts/Error/NotEnoughResourceToBuy","Unable to buy outpost slot - not enough {0}"
"Port/Outposts/Error/CloseNotExists","Unable to close outpost - outpost doesn't exist"
"Port/Outposts/Error/AlreadyClosed","Unable to close outpost - already closed"
"Port/Outposts/Error/HasDockedShips","Unable to close outpost - port has docked ships"
"Port/Outposts/Error/HasDockedFleetShips","Unable to close outpost - port has docked fleet ships"
"Port/Outposts/Error/OpenNotExists","Unable to open outpost - outpost doesn't exist"
"Port/Outposts/Error/AlreadyUsed","Unable to open outpost - already used"
"Port/Outposts/Error/NotEnoughResourceToOpen","Unable to open outpost - not enough {0}"
"Port/Outposts/Error/AlreadyExists","Unable to open outpost - you already have outpost in this port"
"Port/Outposts/Error/NotAvailableInEnemyPort","Unable to open outpost in enemy port"
"Port/Outposts/Error/NotInPortToTeleport","You should be in port to set teleport target"
"Port/Outposts/Error/TeleportNotAvailableYet","Teleport is not available yet"
"Port/Outposts/Error/NotEnough","Not enough {0}"
"Port/Outposts/Error/TeleportWithFleet","Can't teleport with fleet - please disable fleet first"
"Port/Outposts/Error/WrongTeleportTarget","Wrong teleport target"
"Port/Outposts/Error/NoOutpost","You dont have outpost in current port"
"Port/Outposts/Error/CantFindPort","Unable to find port"
"Port/Outposts/Error/TeleportToEnemyPort","Can't teleport to the enemy port"
"Port/Outposts/Error/TeleportFromEnemyPort","Can't teleport from the enemy port"
"Port/Outposts/Error/NeedMoreSpaceInDocksToTeleport","Can't teleport - need more space in docks to leave current ship"
"Port/Outposts/DocksLabel","Docks"
"Port/Outposts/TransportButton","Transport"
"Port/Outposts/PlotAvailable","Plot Available"
"Port/Root/LeavePort/Error/NoShip","You can't leave port without a ship"
"Port/Root/LeavePort/Error/UnableToLeave","Unable to leave port"
"Port/Root/LeavePort/Error/ShipIsOverloaded","Can't leave port - ship is overloaded"
"Port/Root/LeavePort/Error/NotEnoughCrew","Can't leave port - your ship doesn't have enough crew"
"Port/Root/LeavePort/Error/ShallowPortOnBigShip","Can't leave shallow port on deep water ship"
"Port/Root/LeavePort/Error/FleetNotEnoughCrew","Can't leave port - one of your fleet ships doesn't have enough crew"
"Port/Root/LeavePort/Error/FleetShipIsOverloaded","Can't leave port - your fleet ships are overloaded:

{0}"
"Port/Redeem/Title","Rewards, Gifts and DLC"
"Port/Redeem/Error/AlreadyUsed","You already use this item"
"Port/Redeem/AppliedButton","Applied"
"Port/Redeem/UseButton","Use"
"Port/Redeem/ApplyButton","Apply"
"Port/Redeem/CloseButton","Close"
"Port/Redeem/ChangeNameButton","Change Name"
"Port/Redeem/ChangeNationButton","Change Nation"
"Port/Redeem/ChangeNation/Title","Change Nation"
"Port/Redeem/ChangeNation/Message","Captain – You have deсided to change nation. Forging papers only changes your national allegiance. You will have to take care of your assets yourself. Move ships and assets to neutral waters, and abandon outposts that are located in your old nation.

Are you sure you want to change Nation?"
"Port/Redeem/GrandRedeemsButton","{0} & XP
Grant"
"Port/Redeem/Expiration/NoLimit","No limit"
"Port/Redeem/Expiration/Days","{0} days"
"Port/Redeem/Expiration/Hours","{0} hours"
"Port/Redeem/Expiration/Minutes","{0} minutes"
"Port/Redeem/UseTitle","Are you sure?"
"Port/Redeem/UseAllItems","Are you sure want to redeem all items?"
"Port/Redeem/UseItem","Are you sure want to use {0}?"
"Port/Redeem/UseThisItem","Are you sure want to redeem this item?"
"Port/Redeem/Using","Redeem..."
"Port/Redeem/Applying","Applying..."
"Port/Redeem/Error/Title","Error"
"Port/Redeem/Error/UseInPort","You can use this item only in port"
"Port/Redeem/Error/NotInFreeOrNeutralPort","You must be in free town or neutral port"
"Port/Redeem/Error/LeaveClan","You must leave clan"
"Port/Redeem/ChangeNation/ConfirmTitle","Confirm"
"Port/Redeem/ChangeNation/ConfirmMessage","Do you confirm that you want to change nation and have abandoned outposts in your old nation and transferred your assets to neutral territories?"
"Port/Redeem/YesButton","Yes"
"Port/Redeem/NoButton","No"
"Port/Redeem/Error/AbandonAllOutposts","You must abandon all your outposts in national ports. You can keep outposts in Free Town or Neutral port.

You must abandon outpost(s):
{0}"
"Port/Redeem/SelectNation/Title","Select Nation"
"Port/Redeem/SelectNation/Message","Please select nation – this choice cannot be undone"
"Port/Redeem/SelectNation/DropdownLabel","Nation"
"Port/Redeem/SelectNation/ConfirmTitle","Confirm"
"Port/Redeem/SelectNation/ConfirmMessage","You have selected {0} as your new nation.
To confirm the choice please enter 'change nation' into the box. Once you click confirm this change cannot be undone"
"Port/Redeem/Preparing","Preparing..."
"Port/Redeem/SelectNation/ConfirmFailedTitle","Confirm failed"
"Port/Redeem/SelectNation/ConfirmFailedMessage","Change nation was not confirmed"
"Port/Redeem/ChangeName/Title","Select new name"
"Port/Redeem/ChangeName/Message","Please type your new name"
"Port/Redeem/Item/Message","Are you sure that you want to redeem {0}?"
"Port/Redeem/Item/SelectShipOptionsTitle","Select ship options"
"Port/Redeem/Item/SelectShipOptionsMessage","Select wood and trim type for ship"
"Port/Redeem/Item/Succeed","Successfully redeemed"
"Port/Redeem/Item/Failed","Can't redeem this item"
"Port/Redeem/Error/CantAddShipToTempOutpost","Can't add ship to temporary outpost"
"Port/Redeem/Error/NoShipContainer","No ship container found in current port"
"Port/Redeem/Error/NoShipSlots","Not enough ship slots to add ship"
"Port/Redeem/Error/UnableToAddShip","Unable to add ship to ships container"
"Port/Redeem/Error/NotAShip","Created item is not a ship"
"Port/Redeem/Error/NoModulesContainer","No modules container found!"
"Port/Redeem/Error/NotEnoughSpaceInModuleContainer","Not enough space in modules container to redeem module"
"Port/Redeem/Error/UnableToAddModule","Unable to add module to modules container"
"Port/Redeem/Error/NotAModule","Created item is not a module"
"Port/Redeem/Error/CantAddItemToTempOutpost","Can't add item to temporary outpost"
"Port/Redeem/Error/NoWarehouse","No Skladiště found in current port"
"Port/Redeem/Error/NotEnoughSpaceInWarehouse","Not enough space in Skladiště to redeem item"
"Port/Redeem/Error/UnableToAddToWarehouse","Unable to add item to Skladiště"
"Port/Redeem/Error/General","General error while redeeming item"
"Port/Redeem/ChangeName/SucceedMessage","Name will be changed after maintenance"
"Port/Redeem/Error/AlreadyHave","You already have this item"
"Port/Redeem/Error/NotReadyYet","Redeemable is not ready yet"
"Port/Redeem/Error/SameShipAlreadyInDocks","You cannot redeem this ship, because you have same vessel already in docks"
"Port/Redeem/Grand/Grants","Grants"
"Port/Redeem/Grand/MoneyAndXP","{0} & XP"
"Port/Redeem/Grand/XP","XP"
"Port/Redeem/Grand/CraftXP","Craft XP"
"Port/Redeem/Grand/ShipXP","Ship XP"
"Port/Redeem/Grand/TotalShips","Total ships"
"Port/Redeem/Grand/TotalShipXP","Total ship XP"
"Port/Redeem/RedeemButton","Redeem"
"Port/Redeem/Ship/Unlocks","Provides"
"Port/Redeem/Ship/Ship","Ship {0}"
"Port/Redeem/Ship/Class","Rank"
"Port/Redeem/Ship/Guns","Guns"
"Port/Redeem/ChangeNation/Uncloks","Unlocks"
"Port/Redeem/ChangeNation/ForgerChangeNation","Forger - Change Nation"
"Port/Redeem/ChangeNation/ChangeNation","Change nation"
"Port/Redeem/ChangeName/ForgerChangeName","Forger - Change Name"
"Port/Redeem/ChangeName/ChangeName","Change name"
"Port/Redeem/ChangeNation/Cooldown","Cooldown"
"Port/Redeem/AdmiraltyConnections/WarehouseSlots","Skladiště slots"
"Port/Redeem/AdmiraltyConnections/ShipDocks","Docks for your vessels"
"Port/Redeem/AdmiraltyConnections/BuildingPermits","Building permits"
"Port/Redeem/AdmiraltyConnections/ApplyButton","Apply Extra Slots"
"Port/Redeem/RedeemMessage","Redeem message"
"Port/Redeem/Success","Success"
"Port/Redeem/Failed","Failed"
"Port/Redeem/Flags/Description","National Flags Collection"
"Port/Redeem/NothingToRedeem","Nothing to redeem"
"Port/Redeem/ObtainingInfo","Obtaining redeemables information..."
"Port/Redeem/Redeem","Redeem"
"Port/Missions/Warning","WARNING"
"Port/Missions/Claiming/NotSpaceInMoneyChest","Not enough space in Money Chest"
"Port/Missions/Claiming/Title","Are you sure?"
"Port/Missions/Claiming/Message","Are you sure want to take rewards?"
"Port/Missions/Claiming/Claimed","You claimed {0} {1}"
"Port/Missions/Claiming/Success","Rewards successfully claimed"
"Port/Missions/Challenge/Title","Are you sure?"
"Port/Missions/Challenge/Message","Are you sure want that challenge"
"Port/Missions/Error/Title","Error"
"Port/Missions/SuccessTitle","Success"
"Port/Missions/DailyPatrol/Title","Are you sure?"
"Port/Missions/DailyPatrol/Message","Are you sure that you want to finish Daily Patrol? You can continue the patrol to claim more marks. If you finish your daily patrol you will be able to repeat it only after maintenance.
Your current reward: {0}"
